20.0 # 80.0 # 0.0 # 1.5 # 2	tf	agg_coef	max_entropy	min_entropy	left_entropy	right_entropy
一大群人	24	117.39223	3.50163	3.13338	3.13338	3.50163
还真会	24	412.43371	3.31291	2.38376	2.38376	3.31291
小萧潇	24	311.02178	3.19812	2.66667	2.66667	3.19812
雄浑气势	24	241.39250	3.54248	2.79248	3.54248	2.79248
一株药材	24	625.46372	3.41937	3.11749	3.41937	3.11749
这支队伍	24	2755.34083	3.87966	3.76789	3.87966	3.76789
一己之力	24	2994.87467	2.37581	2.29868	2.29868	2.37581
黄袍老者	24	1560.40367	4.01789	2.56003	2.56003	4.01789
青色火苗	24	506.40709	3.04530	2.79248	3.04530	2.79248
那些老生	24	107.42758	3.99060	3.97018	3.97018	3.99060
弥漫着一种	24	241.04997	4.41830	2.68163	2.68163	4.41830
岩浆之底	24	1012.96181	3.34436	2.66606	3.34436	2.66606
再拖延	24	218.33396	3.36749	2.31753	3.36749	2.31753
任何一点	24	82.28298	4.10539	2.72125	2.72125	4.10539
青色液体	24	124.14565	3.70813	3.08430	3.70813	3.08430
透着丝丝	24	2858.68801	4.41830	1.72018	1.72018	4.41830
山坡上	24	153.41456	3.06803	2.71879	2.71879	3.06803
透着一抹	24	118.17603	4.22018	2.49584	2.49584	4.22018
声波斗技	24	494.77150	3.22957	2.73142	3.22957	2.73142
着重尺	24	35805.23466	3.11575	1.60376	3.11575	1.60376
太爷爷	24	1401.87376	3.31291	3.03145	3.03145	3.31291
变得黯淡	24	259.97530	2.91937	1.68190	2.91937	1.68190
足可	24	207.20790	3.68282	2.83272	2.83272	3.68282
音波阵	24	5614.29025	2.78658	2.57166	2.78658	2.57166
怒视着	24	92.66185	3.52206	2.91606	3.52206	2.91606
帝国边境	24	860.79968	3.62165	3.25271	3.25271	3.62165
终于是从	24	123.45057	4.16830	3.01789	3.01789	4.16830
奥巴帕	24	36195.15909	3.65727	3.11459	3.11459	3.65727
自掌心	24	180.17813	3.57393	3.40136	3.40136	3.57393
超级势力	24	402.24673	3.36749	2.94651	3.36749	2.94651
残影浮现	24	205.25343	2.39774	2.37209	2.39774	2.37209
没什么问题	24	462.48239	3.49060	2.18232	3.49060	2.18232
远远比不上	24	835.45548	4.18872	3.68872	3.68872	4.18872
八段斗之气	24	9331.56445	3.49060	2.58583	3.49060	2.58583
极浓	24	1820.44618	4.00163	1.80127	4.00163	1.80127
红裙女子	24	2502.67396	4.00163	2.77839	2.77839	4.00163
回春散	24	9984.87147	2.16389	2.08056	2.16389	2.08056
尚还是	24	121.87971	4.41830	3.48470	3.48470	4.41830
